Breakdown,2021-06-27 00:00:00,2020-06-28 00:00:00,2019-06-30 00:00:00,ticker
changeToLiabilities,-12872727,0,0,BST.AX
totalCashflowsFromInvestingActivities,130160716,-3900000,-5300000,BST.AX
netBorrowings,-119056354,-41000000,-96800000,BST.AX
totalCashFromFinancingActivities,-183511621,-46100000,-97100000,BST.AX
changeToOperatingActivities,-1881818,55900000,-2200000,BST.AX
issuanceOfStock,1091,1091,1091,BST.AX
netIncome,88613447,-17400000,8600000,BST.AX
changeInCash,38981451,106900000,-21500000,BST.AX
totalCashFromOperatingActivities,92332356,156900000,81000000,BST.AX
depreciation,49678905,63500000,67200000,BST.AX
dividendsPaid,-47118542,-47118542,-47118542,BST.AX
changeToInventory,2308363,2308363,2308363,BST.AX
changeToAccountReceivables,8590908,8590908,8590908,BST.AX
otherCashflowsFromFinancingActivities,-17337817,-5100000,-300000,BST.AX
changeToNetincome,-39321815,54900000,7400000,BST.AX
capitalExpenditures,-5102181,-3900000,-5300000,BST.AX
