Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
changeToLiabilities,185911.0,-252293.0,83852.0,560997.0,GEN.AX
totalCashflowsFromInvestingActivities,-1216799.0,-2551029.0,-7833550.0,-4402112.0,GEN.AX
netBorrowings,2914077.0,-65836.0,-65836.0,-65836.0,GEN.AX
totalCashFromFinancingActivities,3957383.0,3256375.0,10069086.0,6064339.0,GEN.AX
changeToOperatingActivities,-51819.0,82672.0,-53957.0,2580.0,GEN.AX
issuanceOfStock,1054756.0,3332022.0,10069086.0,6064339.0,GEN.AX
netIncome,-2804809.0,-1072857.0,-4872941.0,-1918170.0,GEN.AX
changeInCash,650321.0,-829695.0,-557390.0,314120.0,GEN.AX
effectOfExchangeRate,31357.0,148326.0,-1065725.0,934472.0,GEN.AX
totalCashFromOperatingActivities,-2121620.0,-1683367.0,-1727201.0,-2282579.0,GEN.AX
depreciation,89068.0,287010.0,253317.0,20869.0,GEN.AX
changeToAccountReceivables,-31366.0,7393.0,20255.0,-19969.0,GEN.AX
otherCashflowsFromFinancingActivities,-11450.0,-9811.0,-9811.0,-9811.0,GEN.AX
changeToNetincome,491395.0,-735292.0,2842273.0,-928886.0,GEN.AX
capitalExpenditures,-1216799.0,-2551029.0,-7438265.0,-4402054.0,GEN.AX
investments,,,,-58.0,GEN.AX
