Breakdown,2021-03-31 00:00:00,2020-03-31 00:00:00,2019-03-31 00:00:00,ticker
researchDevelopment,,,,IMI.AX
effectOfAccountingCharges,,,,IMI.AX
incomeBeforeTax,-102956,-31164,-112791,IMI.AX
minorityInterest,,,,IMI.AX
netIncome,-102956,-31164,-112791,IMI.AX
sellingGeneralAdministrative,135476,130747,120654,IMI.AX
grossProfit,0,0,0,IMI.AX
ebit,-102956,-31164,-112791,IMI.AX
operatingIncome,-102956,-31164,-112791,IMI.AX
otherOperatingExpenses,-32940,-100036,-8467,IMI.AX
interestExpense,,,,IMI.AX
extraordinaryItems,,,,IMI.AX
nonRecurring,,,,IMI.AX
otherItems,,,,IMI.AX
incomeTaxExpense,0,0,0,IMI.AX
totalRevenue,0,0,0,IMI.AX
totalOperatingExpenses,102956,31164,112791,IMI.AX
costOfRevenue,0,0,0,IMI.AX
totalOtherIncomeExpenseNet,0,0,0,IMI.AX
discontinuedOperations,,,,IMI.AX
netIncomeFromContinuingOps,-102956,-31164,-112791,IMI.AX
netIncomeApplicableToCommonShares,-102956,-31164,-112791,IMI.AX
