Breakdown,2020-06-30 00:00:00,ticker
researchDevelopment,,LDR.AX
effectOfAccountingCharges,,LDR.AX
incomeBeforeTax,-38282,LDR.AX
minorityInterest,,LDR.AX
netIncome,-38282,LDR.AX
sellingGeneralAdministrative,7917,LDR.AX
grossProfit,0,LDR.AX
ebit,-38282,LDR.AX
operatingIncome,-38282,LDR.AX
otherOperatingExpenses,30365,LDR.AX
interestExpense,,LDR.AX
extraordinaryItems,,LDR.AX
nonRecurring,,LDR.AX
otherItems,,LDR.AX
incomeTaxExpense,0,LDR.AX
totalRevenue,0,LDR.AX
totalOperatingExpenses,38282,LDR.AX
costOfRevenue,0,LDR.AX
totalOtherIncomeExpenseNet,0,LDR.AX
discontinuedOperations,,LDR.AX
netIncomeFromContinuingOps,-38282,LDR.AX
netIncomeApplicableToCommonShares,-38282,LDR.AX
