Breakdown,2021-06-30 00:00:00,ticker
totalLiab,667604,OZM.AX
totalStockholderEquity,8502675,OZM.AX
otherCurrentLiab,64155,OZM.AX
totalAssets,9170279,OZM.AX
commonStock,12584625,OZM.AX
otherCurrentAssets,35877,OZM.AX
retainedEarnings,-4467264,OZM.AX
treasuryStock,385314,OZM.AX
cash,7567715,OZM.AX
totalCurrentLiabilities,596768,OZM.AX
otherStockholderEquity,385314,OZM.AX
propertyPlantEquipment,1390722,OZM.AX
totalCurrentAssets,7779557,OZM.AX
netTangibleAssets,8502675,OZM.AX
netReceivables,175965,OZM.AX
accountsPayable,273418,OZM.AX
